source_id,ra,dec,parallax,pmra,pmdec,ruwe,bp_rp,phot_g_mean_mag,radial_velocity,has_rvs,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot
2710712774989440,48.1134802323883,3.964476089897251,8.89349519082703,-62.34683029998021,-31.836167921853274,0.9519621,0.8104763,9.847445,-29.083391,false,5687.257,4.3771,-0.2453,111.9914
7120613395855488,44.069610481356406,5.936978054563805,6.354162107199943,-18.05413107135527,-28.466452917774905,1.0997212,0.84022427,10.600037,-12.67755,false,5911.962,4.4752,0.1906,155.6017
9632890090767744,52.3382011704646,6.6358348057984395,7.789047245675523,46.92172035053672,-53.47954879573594,0.9140858,0.84594345,10.242647,28.23069,false,5606.626,4.3829,-0.2106,127.9963
12966746784938752,53.22132449292268,9.818971844650372,7.891691180140126,55.828676062919314,12.526698264155172,1.1580524,0.85601044,10.433103,19.357304,false,5750.8843,4.5029,0.0549,125.3559
17081089231708800,50.430143798508645,12.10097507034067,10.620824995271542,11.754187818448912,-42.02898991472171,1.0339725,0.7645254,9.247335,-9.765856,false,5847.473,4.3074,-0.149,93.7109
23291989898934528,39.01853271426409,9.881533555830101,7.865643451308991,87.36224808777808,-102.23236999337905,1.4201978,0.8565197,10.294687,2.422184,false,5756.769,4.417,-0.0077,125.811
23748012346526848,34.86036440062895,9.207418504380017,7.714126791552209,7.937825508023302,-71.90563618213598,0.9040197,0.81702614,10.139511,11.92164,false,5708.3706,4.3694,0.0716,128.6452
25276196070213760,39.14363168343147,11.391853506077243,8.630745568140322,119.22375337066408,-38.6397082187837,1.1152135,0.87533283,10.329484,40.41514,true,5743.9146,4.529,0.0769,115.5466
25901680747571968,37.83033516068925,10.976815337709592,4.942264821145802,33.821710694346315,-53.96316816303098,0.8884737,0.89177895,11.21359,-8.982283,false,5480.7695,4.3564,-0.17,200.562
26660412490297856,40.24878350986289,13.335967619787628,8.31590484190979,29.836289713939184,-39.57328624898212,1.9209136,0.8752928,10.278731,5.305956,false,5688.0747,4.3789,-0.2043,118.0927
29642283729147008,46.93664483726515,13.329298202521468,9.229314293969868,57.31322451648831,-29.99203144156003,1.140041,0.81465435,9.733389,35.191246,false,5704.173,4.3131,-0.1163,107.5051
35304910346633088,43.004974062169715,17.30363758308387,6.702776702991825,35.93205392921236,-32.23293282790182,1.0841446,0.8423662,10.680197,6.4682474,false,5730.5127,4.4226,-0.0569,148.2566
35664003972431488,45.81597848594726,18.178796266904932,7.521605152033597,78.27157830162606,-52.74203396274055,0.89047843,0.84300613,10.295637,1.037384,false,5899.5605,4.484,0.167,131.8895
46680526369137152,59.96007240293416,17.70085387716391,9.568612772825151,23.97912357181132,9.86093717547564,0.9687022,0.8032093,9.756772,21.527662,false,5716.3047,4.4002,-0.2398,104.0958
47434649609187456,65.28832759280743,17.759945686798073,6.546376396304505,2.1666451228852917,-48.777772395916756,1.4887906,1.0623198,11.062538,-5.3073134,true,5348.781,4.3611,-0.381,151.6671
49140374398845184,65.18155905693328,20.448903317599726,6.962154399379638,-7.171185049317792,-16.84632954516495,1.54647,0.8618059,10.493945,2.1188397,false,5884.3228,4.3261,-0.4695,141.739
49512181126639488,64.63866975431942,21.60034054270734,7.457081510696532,10.225265565294531,-35.93005652079836,0.9297943,0.9190006,10.202684,-57.19534,false,5649.9634,4.339,0.0798,133.436
49538981722526208,64.63492888685653,21.95887274071026,5.829620562754406,6.697668901487276,-11.644209741224387,1.232578,1.3292456,12.113325,9.353137,false,5618.1367,4.5347,-0.0223,165.8364
49898934342134144,58.02119534059238,18.13472868689913,11.667540506118039,69.61451497058508,-23.39559113840191,0.9631094,0.8018446,9.196084,40.888657,false,5853.0874,4.4259,0.1395,85.3984
51354550298500608,59.02812595738232,20.41683083903504,5.47010298545726,36.226370638500924,-36.740674746519076,1.3041344,0.95700073,11.529857,2.915361,false,5499.6704,4.4817,-0.2171,176.8037
56011256919556608,51.2304297434744,18.738788279926194,5.300569758471238,55.83599007392115,-39.90470514214177,0.95940065,0.89262676,11.269569,27.228745,false,5612.4463,4.4208,0.0576,185.5676
56783560757329408,53.68637395780977,18.967867160053423,6.011445294475233,8.27326914373034,-22.55941112194498,0.96334434,0.8666353,10.92216,-16.201714,false,5683.605,4.3621,-0.1624,164.4126
63793978177048064,58.61019332529879,21.81977969497199,5.804661634096474,-4.510582786290376,-63.84028839659274,1.1872498,0.87988377,10.86081,-24.437284,false,5768.0625,4.3138,-0.1873,170.4133
64072910533384832,58.00900414250341,22.49480724795535,5.9148966727381405,40.34859291609129,-6.615561424318157,1.3769021,0.9143419,10.884972,-33.396465,false,5648.841,4.3697,-0.1941,167.3473
64761823288232704,56.04648906766936,22.323962423513954,5.746118446965893,22.369249453907763,-35.702095542504864,1.0542794,0.98740387,10.990417,49.52058,false,5455.9546,4.3428,-0.1688,170.4105
67166180339412480,59.70843200793995,25.86397629238111,8.452608186493014,50.49601127536037,-14.424194337248503,1.3504909,0.8521004,9.957486,3.1481454,true,5625.8403,4.3037,0.0056,117.4538
70103250776646784,55.77718056953655,25.684948041315575,14.426048550318383,-41.738619008705946,-13.494057720519415,0.93325514,0.80118847,8.982405,,false,5706.3276,4.3762,-0.2523,69.048
77103669510200064,30.98557269089041,14.184023710683698,14.806547194290934,19.734660822871017,-20.93092039972919,1.034257,0.8265257,8.758548,1.8290708,false,5661.992,4.3291,-0.0455,67.3729
77161217776670208,32.717524003731334,13.682958143895934,23.304385281112328,114.00801687576995,-72.06303773027373,1.1137122,0.8247676,8.025245,24.825361,false,5644.6245,4.3929,-0.2234,42.6003
81239065885692160,40.12704571816754,15.602362536198415,9.073418803393063,-55.1409150988178,-44.36178409028321,6.2254953,0.86081696,9.969228,-16.72797,false,5688.662,4.3732,-0.2398,105.7936
84156589925730176,44.39095690634577,20.01768930464766,9.439562524607252,79.56171225614622,-5.749147145415883,1.0662265,0.8455229,9.787321,14.0412,false,5906.781,4.4778,0.1847,105.2577
85861726302156800,36.15814064415846,17.89984890221028,9.896167803885241,22.901528779545135,21.154172538047064,1.0334103,0.7789211,9.52159,23.11475,false,5794.917,4.3163,-0.2051,100.5525
87822224254056704,39.35267366020916,19.605567309257008,7.434348321024558,162.43110447688693,57.34206872158507,1.534791,0.90518093,10.387159,63.282787,false,5626.5566,4.3201,-0.028,133.2062
90684665337890560,29.95653448705117,16.34669331057886,6.753428942422653,51.8216303269834,-6.591405522771154,1.120406,0.8373661,10.588778,45.736557,false,5744.668,4.4288,0.0597,147.1434
91305099133729280,26.717206630426926,16.41514870352005,8.181377812042626,29.55141703858764,-30.635352123141185,1.1444451,0.7977972,10.267855,22.254885,false,5737.457,4.4625,-0.2015,120.9183
94895554354168064,24.999322792548217,18.023899263979747,7.614037748974852,38.14658995645019,-15.804357166388632,1.0432575,0.8327694,10.587049,29.236933,false,5757.177,4.5168,-0.1038,130.1572
96196787710929792,23.640872582911648,19.933548461693263,5.753469696663862,31.076801187346632,3.6725911290790947,1.0228376,0.8238964,10.728218,-18.83978,false,5638.0527,4.3527,-0.2257,172.6588
112386241734515840,46.811098472356136,25.861744126989187,10.47749027724601,95.25926481114007,-73.73535480228703,1.1028584,0.8434715,9.754945,35.655514,false,5576.788,4.4251,-0.1703,95.1526
114115803586193792,40.35362955168375,25.004332238399513,8.233479289204736,9.25291516472793,-33.23947793483351,8.122857,0.8632536,10.390632,30.663292,false,5668.0005,4.5628,-0.1041,107.7729
120329594767554048,54.112691169183535,30.591281559103653,7.964106522050023,61.14801938672713,-28.482573582432593,0.921781,0.8334913,10.2578335,-7.306825,false,5742.521,4.441,-0.0153,124.8588
122287477082819328,49.09213213888375,29.695910805419377,6.169090338617102,56.03560785185217,-14.283566987597156,4.10544,0.9071579,10.698604,33.882683,false,5744.1006,4.2997,-0.2004,155.3233
124460734831245184,52.47611264554296,32.05279724117203,6.836351634245176,24.661446607281377,-10.080883846786364,0.92814404,0.9027643,10.837709,-10.993283,false,5695.43,4.4858,0.0477,144.7039
124666549663773312,52.72292410777331,33.08969334595424,8.314794323885998,28.325927546757065,16.487490875583642,0.81376636,0.8204918,9.845212,15.928145,false,5767.483,4.2707,-0.148,119.368
126667381652166400,40.79498582972368,26.111202541795983,6.3900254524119875,-8.015637323471775,-8.773791837247188,1.1903697,0.8948879,10.956353,5.8715687,false,5778.6646,4.5027,0.062,155.1769
127965320769501184,40.05861279633499,28.58699011267724,10.609359418556723,70.11616788328108,-106.12291063816654,0.88360536,0.811512,9.259697,-6.5739775,false,5707.4214,4.2569,-0.0719,93.8883
128984160029358208,43.9532999717627,29.554113919152503,8.124422837963294,-69.40095684743542,-30.496841329389888,5.77973,0.8523264,10.456604,-37.136497,false,5628.8525,4.434,-0.2137,120.8268
133443641753736320,40.59244427511423,31.787830671258064,5.9605668057473125,123.1976625219895,-28.026977363874984,1.2855964,0.8984051,10.715149,47.67274,false,5730.903,4.2631,-0.1409,166.3405
137682911910958592,47.38124022886528,34.10734279203259,7.573262992601799,-19.81947744811969,-45.81712788931883,5.9337187,0.84425163,10.159678,-92.109055,false,5776.206,4.3256,-0.2916,124.8313
140586477306056192,42.79185052912247,36.143599869808085,6.4080201357618485,17.175570364224434,-74.21386583556117,1.0857692,0.83587074,10.391232,-76.464966,false,5698.3013,4.2614,-0.0437,155.0655
140592941232856960,42.86340391298335,36.21212455773498,9.723824974695656,-47.12454830968011,3.802100184457866,1.3658435,0.83704376,9.987181,-40.37968,false,5713.3867,4.4845,-0.0258,102.2387
144159035399283456,67.85533869190215,20.070861286017443,5.530478144912586,-2.92891973504164,-26.20653000779175,1.3658195,1.018156,11.292544,-5.9386177,false,5746.5923,4.34,-0.2221,178.174
144459541374392704,67.11767239953613,20.822302668999008,4.951277554448017,41.038580996559155,-44.10877328515371,1.0645919,1.1086044,11.794416,69.475975,false,5701.6685,4.3773,-0.1959,197.4409
145765211431784064,65.70273337031318,22.831239756621475,8.954889707548368,-56.37017781545329,-83.66439141855825,0.982579,0.84554386,9.976319,-22.885075,false,5709.4736,4.4178,0.0935,110.7885
146821331005982336,70.20474448193156,23.809406701382763,15.905210198804816,61.41971676901207,-48.790976362357924,0.88088226,0.8459263,8.684428,34.960716,true,5614.2397,4.3413,-0.0183,62.6691
